Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
Decision_Tree,0.7927960057061341,0.7952054572326367,0.7927960057061341,0.7933188478844226,0.9081219436875382,0.7925436773659593,"{'clf__criterion': 'gini', 'clf__max_depth': 10, 'clf__min_samples_split': 2}",True
Random_Forest,0.8359486447931527,0.8359545203184189,0.8359486447931527,0.8357071812570261,0.9512252340756326,0.8261689951849405,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 100}",True
KNN_Coarse,0.87339514978602,0.8733174073160886,0.87339514978602,0.8733140059744398,0.9676037238426459,0.8638966386852068,"{'clf__n_neighbors': 10, 'clf__weights': 'distance'}",True
AdaBoost,0.6604850213980028,0.6636502520819386,0.6604850213980028,0.6599899845280581,0.8020325431775679,0.668837692287195,"{'clf__learning_rate': 1.0, 'clf__n_estimators': 200}",True
