Sample,mean,contrast,homogeneity,energy,entropy,
res/Solid.png_1x0,153,0,1,1,-8.68589e-09,
res/Solid.png_1x45,153,0,1,1.00001,-1.47342e-06,
res/Solid.png_1x90,153,0,1,1.00001,-1.47106e-06,
res/Solid.png_1x135,153,0,1,1.00001,-1.47343e-06,
res/Solid.png_2x0,153,0,1,1.00001,-1.47274e-06,
res/Solid.png_2x45,153,0,1,1.00001,-1.47886e-06,
res/Solid.png_2x90,153,0,1,1.00001,-1.47412e-06,
res/Solid.png_2x135,153,0,1,1.00001,-1.47886e-06,
