Sample,mean,contrast,homogeneity,energy,entropy,
res/Natur-police.jpeg_1x0,79.0921,504.728,0.256358,0.000172751,4.28439,
res/Natur-police.jpeg_1x45,79.139,731.696,0.208623,0.000118695,4.40679,
res/Natur-police.jpeg_1x90,79.142,552.949,0.24568,0.000162368,4.32444,
res/Natur-police.jpeg_1x135,79.139,779.724,0.208304,0.000117976,4.41709,
res/Natur-police.jpeg_2x0,79.0884,834.924,0.19977,0.000111831,4.41742,
res/Natur-police.jpeg_2x45,79.1831,1070.45,0.166552,8.4804e-05,4.50349,
res/Natur-police.jpeg_2x90,79.1898,918.446,0.19453,0.000105012,4.45746,
res/Natur-police.jpeg_2x135,79.1831,1111.91,0.167473,8.46267e-05,4.51021,
