Sample,mean,contrast,homogeneity,energy,entropy,
res/Sunset-cirro.jpeg_1x0,102.342,20.4588,0.537273,0.000706689,3.5669,
res/Sunset-cirro.jpeg_1x45,102.337,94.5174,0.371464,0.000351503,3.88515,
res/Sunset-cirro.jpeg_1x90,102.322,82.0923,0.417998,0.000432955,3.81481,
res/Sunset-cirro.jpeg_1x135,102.337,95.7842,0.367162,0.000346047,3.88972,
res/Sunset-cirro.jpeg_2x0,102.357,42.9679,0.399254,0.000404703,3.79139,
res/Sunset-cirro.jpeg_2x45,102.346,166.868,0.277883,0.000220882,4.08281,
res/Sunset-cirro.jpeg_2x90,102.316,148.723,0.306768,0.000254586,4.03586,
res/Sunset-cirro.jpeg_2x135,102.346,167.119,0.273156,0.00021645,4.08799,
