Caso,Mejor Clasificador,Precisión,F1-Score,AUC
GLCM sin PCA,KNeighbors,0.875,0.8666666666666667,0.9524739583333334
GLCM con PCA,KNeighbors,0.8125,0.8127705627705628,0.9407552083333331
GLR sin PCA,KNeighbors,0.625,0.5746753246753247,0.8098958333333335
GLR con PCA,KNeighbors,0.625,0.6111111111111112,0.7597656250000001
SDH sin PCA,RandomForest,0.875,0.8740079365079365,0.9720052083333331
SDH con PCA,SVC,0.8125,0.8095238095238095,
Combinado con PCA,SVC,0.75,0.7541666666666667,
Combinado con LDA,SVC,0.875,0.8740079365079365,
Mejor caso con LDA,RandomForest,0.8125,0.8025793650793651,0.9641927083333334
