Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
Linear_SVM,0.5645506419400856,0.5793220511972383,0.5645506419400856,0.5504247598493034,N/A,0.5551184913476479,"{'clf__C': 100, 'clf__kernel': 'linear'}",False
Quadratic_SVM,0.6554921540656206,0.6612115419349933,0.6554921540656206,0.6459720500250326,N/A,0.6540315136435966,"{'clf__C': 10, 'clf__degree': 2, 'clf__gamma': 'scale'}",False
Cubic_SVM,0.5370898716119828,0.622370871877124,0.5370898716119828,0.5242754817466188,N/A,0.5259530393496985,"{'clf__C': 10, 'clf__degree': 3, 'clf__gamma': 'scale'}",False
Fifth_SVM,0.481811697574893,0.576525642319196,0.481811697574893,0.4592099388165131,N/A,0.4736884262387533,"{'clf__C': 10, 'clf__degree': 5, 'clf__gamma': 'scale'}",False
