Model,Original_Accuracy,EDA_Accuracy,Improvement,Improvement_Percent
LogisticRegression,0.88046875,0.8825,0.002031249999999929,0.23070097604258288
SVC,0.853125,0.874375,0.02124999999999999,2.4908424908424895
