tag,best_accuracy,best_f1_macro,best_model,best_estimator,score
RandomForest,0.896875,0.8966905139614598,"{'clf__max_depth': 9, 'clf__min_samples_split': 2, 'clf__n_estimators': 72}","Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', RandomForestClassifier(max_depth=9, n_estimators=72))])",0.890625
LogisticRegression,0.8828125,0.8826030197303482,"{'clf__C': 1, 'clf__penalty': 'l2', 'clf__solver': 'saga'}","Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', LogisticRegression(C=1, max_iter=850, solver='saga'))])",0.89375
SVC,0.859375,0.858879405901708,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf'}","Pipeline(steps=[('scaler', StandardScaler()), ('clf', SVC(C=1))])",0.865625
KNeighbors,0.81171875,0.8096706221850752,"{'clf__n_neighbors': 24, 'clf__weights': 'uniform'}","Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', KNeighborsClassifier(n_neighbors=24))])",0.809375
