generation,best_fitness,avg_fitness,worst_fitness,best_individual,best_feature_count,best_features
12,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
13,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
14,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
15,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
16,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
17,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
18,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
19,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
20,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
21,0.8670011874525843,0.8292968512349143,0.748235771642606,"(0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0)",17,"['feature_1', 'feature_2', 'feature_6', 'feature_7', 'feature_8', 'feature_11', 'feature_12', 'feature_15', 'feature_16', 'feature_18', 'feature_19', 'feature_24', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_34']"
