glrl_d0_SRE,glrl_d0_LRE,glrl_d0_GLNU,glrl_d0_RLN,glrl_d0_RP,glrl_d45_SRE,glrl_d45_LRE,glrl_d45_GLNU,glrl_d45_RLN,glrl_d45_RP,glrl_d90_SRE,glrl_d90_LRE,glrl_d90_GLNU,glrl_d90_RLN,glrl_d90_RP,class
0.8953067463091292,6.677880340816893,8533.99515007297,293828.6588409426,2.0119482226301737,0.8953067463091292,6.677880340816893,8533.99515007297,293828.6588409426,2.0119482226301737,0.8887219974089998,1.7098490392102228,8447.453361527263,287537.54658378626,2.002706733978638,sano
0.8955313626320701,6.737118402282453,8901.302949033849,293814.84534820385,2.010753921895861,0.8955313626320701,6.737118402282453,8901.302949033849,293814.84534820385,2.010753921895861,0.8887423606261954,1.7313895021647843,8824.375853988495,287273.9646622754,2.000797938918558,sano
0.001334308000980571,368483.70439414063,749.0026631158445,745.0159786950722,0.0039166805740987985,0.001334308000980571,368483.70439414063,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0016411566661165432,558774.3606557368,608.0032786885236,604.0196721311465,0.0031813251001335113,sano
0.0013343989148275714,368546.181091877,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0013343989148275714,368546.181091877,749.0026631158445,745.0159786950722,0.0039166805740987985,0.001641143101120339,558710.8721311466,608.0032786885236,604.0196721311465,0.0031813251001335113,sano
0.0013342823328017898,368435.7896138477,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0013342823328017898,368435.7896138477,749.0026631158445,745.0159786950722,0.0039166805740987985,0.001641146902708454,558732.0786885236,608.0032786885236,604.0196721311465,0.0031813251001335113,sano
0.8950344550785142,7.4775926368386605,8428.8990629837,293067.50771843805,2.0081567089452603,0.8950344550785142,7.4775926368386605,8428.8990629837,293067.50771843805,2.0081567089452603,0.8884445573355964,1.7366509253150662,8362.040806694291,286928.9681765674,2.000015645861148,sano
0.001334281807020675,368434.3515312911,749.0026631158445,745.0159786950722,0.0039166805740987985,0.001334281807020675,368434.3515312911,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0016411447583811237,558720.5377049171,608.0032786885236,604.0196721311465,0.0031813251001335113,sano
0.8946338793559997,6.558244941825149,8393.240487204648,292889.57118307037,2.0090224465954605,0.8946338793559997,6.558244941825149,8393.240487204648,292889.57118307037,2.0090224465954605,0.8887989506537182,1.7135262354919838,8327.118990465975,287642.0405157017,2.0031813251001336,sano
0.8950390423179656,7.002593047310784,8418.712994567319,293227.37431767036,2.009246703938585,0.8950390423179656,7.002593047310784,8418.712994567319,293227.37431767036,2.009246703938585,0.888641459935885,1.7276032179127347,8340.203563992109,287256.1988262489,2.0012464536048062,sano
0.0013342824727947567,368436.1677762978,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0013342824727947567,368436.1677762978,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0016411436277066482,558714.0196721302,608.0032786885236,604.0196721311465,0.0031813251001335113,sano
0.0013342916736455153,368457.41944074514,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0013342916736455153,368457.41944074514,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0016411434882819937,558713.193442622,608.0032786885236,604.0196721311465,0.0031813251001335113,sano
0.8953045308036994,6.6779028353094265,8533.959873295003,293826.17169460154,2.0119430073431244,0.8953045308036994,6.6779028353094265,8533.959873295003,293826.17169460154,2.0119430073431244,0.8887242402737386,1.7098393783462844,8447.497531301431,287539.99836982565,2.0027119492656875,sano
0.8953045308036994,6.6779028353094265,8533.959873295003,293826.17169460154,2.0119430073431244,0.8953045308036994,6.6779028353094265,8533.959873295003,293826.17169460154,2.0119430073431244,0.8887242402737386,1.7098393783462844,8447.497531301431,287539.99836982565,2.0027119492656875,sano
0.0013342820199776409,368434.93741677713,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0013342820199776409,368434.93741677713,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0016411434205404712,558712.7901639335,608.0032786885236,604.0196721311465,0.0031813251001335113,sano
0.8953249809530336,7.105834815940578,8394.651394515304,293678.38813533826,2.010920811081442,0.8953249809530336,7.105834815940578,8394.651394515304,293678.38813533826,2.010920811081442,0.8889805066771486,1.7219453254795347,8319.141061096094,287716.99046919675,2.0027641021361817,sano
0.0013343960615432512,368545.08388814866,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0013343960615432512,368545.08388814866,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0016411454328761773,558724.2786885237,608.0032786885236,604.0196721311465,0.0031813251001335113,sano
0.0013342922003539573,368458.4580559249,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0013342922003539573,368458.4580559249,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0016411572121343935,558776.3409836056,608.0032786885236,604.0196721311465,0.0031813251001335113,sano
0.8952759844724296,7.414766946953182,8861.363822277588,293455.3811637081,2.0095544058744994,0.8952759844724296,7.414766946953182,8861.363822277588,293455.3811637081,2.0095544058744994,0.8884858091239085,1.7251220154105529,8787.649077685968,287155.8490344301,2.001434203938585,sano
0.0013342854195101,368443.699067909,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0013342854195101,368443.699067909,749.0026631158445,745.0159786950722,0.0039166805740987985,0.0016411433540984841,558712.393442622,608.0032786885236,604.0196721311465,0.0031813251001335113,sano
0.8953249809530336,7.105834815940578,8394.651394515304,293678.38813533826,2.010920811081442,0.8953249809530336,7.105834815940578,8394.651394515304,293678.38813533826,2.010920811081442,0.8889805066771486,1.7219453254795347,8319.12550974173,287716.99046919675,2.0027641021361817,sano
