Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
Linear_SVM,0.5645506419400856,0.5795389124173328,0.5645506419400856,0.5504057474226357,N/A,0.5552076974136604,"{'clf__C': 100, 'clf__kernel': 'linear'}",False
Quadratic_SVM,0.6554921540656206,0.6612115419349933,0.6554921540656206,0.6459720500250326,N/A,0.6540315136435966,"{'clf__C': 10, 'clf__degree': 2, 'clf__gamma': 'auto'}",False
Cubic_SVM,0.5370898716119828,0.622370871877124,0.5370898716119828,0.5242754817466188,N/A,0.5257747067594176,"{'clf__C': 10, 'clf__degree': 3, 'clf__gamma': 'auto'}",False
Fifth_SVM,0.481811697574893,0.5765186955705681,0.481811697574893,0.45930391834281387,N/A,0.4736884262387533,"{'clf__C': 10, 'clf__degree': 5, 'clf__gamma': 'scale'}",False
