Block_Experiment,Best_Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score
Block1_Tree_Based_Experiment_I,KNN_Coarse,0.87339514978602,0.8733174073160886,0.87339514978602,0.8733140059744398,0.9676037238426459,0.8638966386852068
Block2_KNN_Variants_Experiment_I,KNN_Medium,0.87339514978602,0.8733174073160886,0.87339514978602,0.8733140059744398,0.9676037238426459,0.8638966386852068
Block3_Probabilistic_Experiment_I,KNN_Cosine,0.8145506419400856,0.8156415484790129,0.8145506419400856,0.8143706105770744,0.943851323817005,0.816001213807015
Block4_SVM_Variants_Experiment_I,Quadratic_SVM,0.6554921540656206,0.6612115419349933,0.6554921540656206,0.6459720500250326,N/A,0.6540315136435966
Block1_Tree_Based_Experiment_II,Decision_Tree,0.5172413793103449,0.5156739811912225,0.5172413793103449,0.4936844764430971,0.6557669441141498,0.5391304347826087
Block2_KNN_Variants_Experiment_II,KNN_Fine,0.5172413793103449,0.564039408866995,0.5172413793103449,0.48745557291284425,0.6848989298454222,0.5304347826086957
Block3_Probabilistic_Experiment_II,KNN_Cosine,0.5517241379310345,0.5552072448624172,0.5517241379310345,0.5525883674704002,0.7247324613555292,0.4608695652173913
Block4_SVM_Variants_Experiment_II,Linear_SVM,0.5517241379310345,0.5699128457749146,0.5517241379310345,0.5506658435488139,N/A,0.43478260869565216
