Classifier,Accuracy,Precision,Recall,F1_Score,AUC_Score,CV_Score,Best_Params,Supports_Probability
Linear_SVM,0.5517241379310345,0.5699128457749146,0.5517241379310345,0.5506658435488139,N/A,0.43478260869565216,"{'clf__C': 100, 'clf__kernel': 'linear'}",False
Quadratic_SVM,0.4482758620689655,0.46504702194357367,0.4482758620689655,0.45360527756172037,N/A,0.4608695652173912,"{'clf__C': 10, 'clf__degree': 2, 'clf__gamma': 'scale'}",False
Cubic_SVM,0.3793103448275862,0.3994252873563218,0.3793103448275862,0.2920325110994483,N/A,0.4434782608695652,"{'clf__C': 1, 'clf__degree': 3, 'clf__gamma': 'scale'}",False
Fifth_SVM,0.3793103448275862,0.41849529780564265,0.3793103448275862,0.32079414838035525,N/A,0.4521739130434782,"{'clf__C': 10, 'clf__degree': 5, 'clf__gamma': 'scale'}",False
