generation,best_fitness,avg_fitness,worst_fitness,best_individual,best_feature_count,best_features
33,0.854113753559609,0.8136151975605912,0.6502026732343057,"(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1)",22,"['feature_0', 'feature_3', 'feature_4', 'feature_5', 'feature_10', 'feature_11', 'feature_13', 'feature_14', 'feature_16', 'feature_18', 'feature_19', 'feature_20', 'feature_21', 'feature_22', 'feature_24', 'feature_26', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_32', 'feature_35']"
34,0.854113753559609,0.8136151975605912,0.6502026732343057,"(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1)",22,"['feature_0', 'feature_3', 'feature_4', 'feature_5', 'feature_10', 'feature_11', 'feature_13', 'feature_14', 'feature_16', 'feature_18', 'feature_19', 'feature_20', 'feature_21', 'feature_22', 'feature_24', 'feature_26', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_32', 'feature_35']"
35,0.854113753559609,0.8136151975605912,0.6502026732343057,"(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1)",22,"['feature_0', 'feature_3', 'feature_4', 'feature_5', 'feature_10', 'feature_11', 'feature_13', 'feature_14', 'feature_16', 'feature_18', 'feature_19', 'feature_20', 'feature_21', 'feature_22', 'feature_24', 'feature_26', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_32', 'feature_35']"
36,0.854113753559609,0.8136151975605912,0.6502026732343057,"(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1)",22,"['feature_0', 'feature_3', 'feature_4', 'feature_5', 'feature_10', 'feature_11', 'feature_13', 'feature_14', 'feature_16', 'feature_18', 'feature_19', 'feature_20', 'feature_21', 'feature_22', 'feature_24', 'feature_26', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_32', 'feature_35']"
37,0.854113753559609,0.8136151975605912,0.6502026732343057,"(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1)",22,"['feature_0', 'feature_3', 'feature_4', 'feature_5', 'feature_10', 'feature_11', 'feature_13', 'feature_14', 'feature_16', 'feature_18', 'feature_19', 'feature_20', 'feature_21', 'feature_22', 'feature_24', 'feature_26', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_32', 'feature_35']"
38,0.854113753559609,0.8136151975605912,0.6502026732343057,"(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1)",22,"['feature_0', 'feature_3', 'feature_4', 'feature_5', 'feature_10', 'feature_11', 'feature_13', 'feature_14', 'feature_16', 'feature_18', 'feature_19', 'feature_20', 'feature_21', 'feature_22', 'feature_24', 'feature_26', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_32', 'feature_35']"
39,0.854113753559609,0.8136151975605912,0.6502026732343057,"(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1)",22,"['feature_0', 'feature_3', 'feature_4', 'feature_5', 'feature_10', 'feature_11', 'feature_13', 'feature_14', 'feature_16', 'feature_18', 'feature_19', 'feature_20', 'feature_21', 'feature_22', 'feature_24', 'feature_26', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_32', 'feature_35']"
40,0.854113753559609,0.8136151975605912,0.6502026732343057,"(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1)",22,"['feature_0', 'feature_3', 'feature_4', 'feature_5', 'feature_10', 'feature_11', 'feature_13', 'feature_14', 'feature_16', 'feature_18', 'feature_19', 'feature_20', 'feature_21', 'feature_22', 'feature_24', 'feature_26', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_32', 'feature_35']"
41,0.854113753559609,0.8136151975605912,0.6502026732343057,"(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1)",22,"['feature_0', 'feature_3', 'feature_4', 'feature_5', 'feature_10', 'feature_11', 'feature_13', 'feature_14', 'feature_16', 'feature_18', 'feature_19', 'feature_20', 'feature_21', 'feature_22', 'feature_24', 'feature_26', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_32', 'feature_35']"
42,0.854113753559609,0.8136151975605912,0.6502026732343057,"(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1)",22,"['feature_0', 'feature_3', 'feature_4', 'feature_5', 'feature_10', 'feature_11', 'feature_13', 'feature_14', 'feature_16', 'feature_18', 'feature_19', 'feature_20', 'feature_21', 'feature_22', 'feature_24', 'feature_26', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_32', 'feature_35']"
43,0.854113753559609,0.8136151975605912,0.6502026732343057,"(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1)",22,"['feature_0', 'feature_3', 'feature_4', 'feature_5', 'feature_10', 'feature_11', 'feature_13', 'feature_14', 'feature_16', 'feature_18', 'feature_19', 'feature_20', 'feature_21', 'feature_22', 'feature_24', 'feature_26', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_32', 'feature_35']"
44,0.854113753559609,0.8136151975605912,0.6502026732343057,"(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1)",22,"['feature_0', 'feature_3', 'feature_4', 'feature_5', 'feature_10', 'feature_11', 'feature_13', 'feature_14', 'feature_16', 'feature_18', 'feature_19', 'feature_20', 'feature_21', 'feature_22', 'feature_24', 'feature_26', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_32', 'feature_35']"
45,0.854113753559609,0.8136151975605912,0.6502026732343057,"(1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1)",22,"['feature_0', 'feature_3', 'feature_4', 'feature_5', 'feature_10', 'feature_11', 'feature_13', 'feature_14', 'feature_16', 'feature_18', 'feature_19', 'feature_20', 'feature_21', 'feature_22', 'feature_24', 'feature_26', 'feature_28', 'feature_29', 'feature_30', 'feature_31', 'feature_32', 'feature_35']"
