Model,Original_Accuracy,EDA_Accuracy,Improvement,Improvement_Percent
LogisticRegression,0.88359375,0.8706250000000001,-0.012968749999999862,-1.4677276746242107
SVC,0.83359375,0.815625,-0.017968749999999978,-2.155576382380503
