tag,best_accuracy,best_f1_macro,best_model,best_estimator,score
RandomForest,0.896875,0.8966678007931858,"{'clf__max_depth': 19, 'clf__min_samples_split': 2, 'clf__n_estimators': 75}","Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', RandomForestClassifier(max_depth=19, n_estimators=75))])",0.9
LogisticRegression,0.88359375,0.8830483786799868,"{'clf__C': 0.093, 'clf__l1_ratio': 0.0, 'clf__penalty': 'elasticnet', 'clf__solver': 'saga'}","Pipeline(steps=[('scaler', StandardScaler()),
                ('clf',
                 LogisticRegression(C=0.093, l1_ratio=0.0, max_iter=850,
                                    penalty='elasticnet', solver='saga'))])",0.865625
SVC,0.83359375,0.8299805287751989,"{'clf__C': 0.07100000000000001, 'clf__gamma': 'scale', 'clf__kernel': 'sigmoid'}","Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', SVC(C=0.07100000000000001, kernel='sigmoid'))])",0.8375
KNeighbors,0.815625,0.8143735421881173,"{'clf__n_neighbors': 10, 'clf__weights': 'uniform'}","Pipeline(steps=[('scaler', StandardScaler()),
                ('clf', KNeighborsClassifier(n_neighbors=10))])",0.7875
